record_id,tier,source,name,state,county,capacity_mw,opposed_flag,lifecycle_outcome,origin_date,origin_precision,end_date,end_kind,span_days,event_observed,source_url
ext_00119,external,loudoun_lola,ARCOLA GROVE REZONING,VA,,,no,Approved,2023-07-10,day,2026-08-18,censored_asof,1135,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00120,external,loudoun_lola,ZEBRA EAST,VA,,,no,Approved,2023-07-26,day,2026-08-18,censored_asof,1119,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00121,external,loudoun_lola,Quantum Park,VA,,,no,In Review,2023-11-09,day,2026-08-18,censored_asof,1013,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00122,external,loudoun_lola,GLENN DRIVE NORTH & SOUTH,VA,,,no,In Review,2024-01-22,day,2026-08-18,censored_asof,939,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00123,external,loudoun_lola,GLOBAL PLAZA,VA,,,no,In Review,2024-02-28,day,2026-08-18,censored_asof,902,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00124,external,loudoun_lola,Cochran Tech Park,VA,,,no,In Review,2024-07-30,day,2026-08-18,censored_asof,749,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00125,external,loudoun_lola,DULLES DISTRIBUTION CENTER PHASE 1 & 2,VA,,,no,In Review,2024-09-04,day,2026-08-18,censored_asof,713,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00126,external,loudoun_lola,DULLES DOWNS,VA,,,no,In Review,2024-08-08,day,2026-08-18,censored_asof,740,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00127,external,loudoun_lola,WEST DULLES & DULLES COMMERCE CENTER,VA,,,no,In Review,2024-08-27,day,2026-08-18,censored_asof,721,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00128,external,loudoun_lola,Equinix Ashburn East,VA,,,no,In Review,2025-08-26,day,2026-08-18,censored_asof,357,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00129,external,loudoun_lola,Horseshoe Drive,VA,,,no,In Review,2024-11-27,day,2026-08-18,censored_asof,629,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00130,external,loudoun_lola,Spring Valley Technology Park,VA,,,no,In Review,2025-03-03,day,2026-08-18,censored_asof,533,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00131,external,loudoun_lola,SDC Ashburn I,VA,,,no,Approved,2025-05-05,day,2026-08-18,censored_asof,470,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00132,external,loudoun_lola,EQUINIX ASHBURN NORTH,VA,,,no,In Review,2025-07-25,day,2026-08-18,censored_asof,389,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00133,external,loudoun_lola,LOUDOUN BUSINESS PARK,VA,,,no,In Review,2025-09-10,day,2026-08-18,censored_asof,342,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00134,external,loudoun_lola,YONDR-TARRING,VA,,,no,In Review,2025-11-10,day,2026-08-18,censored_asof,281,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00135,external,loudoun_lola,Relocation Drive Data Center,VA,,,no,In Review,2026-06-26,day,2026-08-18,censored_asof,53,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00136,external,loudoun_lola,TRUE NORTH DATA SYCOLIN RD FRONTAGE IMP,VA,,,no,Approved,2018-02-16,day,2026-08-18,censored_asof,3105,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00137,external,loudoun_lola,TUSCARORA CROSSING LAND BAY 3 (STPL-2020-0046),VA,,,no,In Review,2024-08-09,day,2026-08-18,censored_asof,739,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
