audit_order,universe_id,name,operator,state,county,source,lifecycle_outcome,announced_date,capacity_mw,search_protocol
131,prj_123,Meta Kansas City Data Center,Meta; Diode Ventures,MO,clay,proposals_unopposed,advanced_confirmed,2025-01-01,,Meta Kansas City Data Center MO | Meta Kansas City Data Center data center clay MO | clay MO data center opposition OR moratorium OR rezoning OR petition | Meta; Diode Ventures data center MO residents
132,prj_338,"Adams Fork Data Center Energy Campus, Wharncliffe",TransGas Development Systems,WV,mingo,proposals_unopposed,pending,2025-01-01,,"Adams Fork Data Center Energy Campus, Wharncliffe WV | Adams Fork Data Center Energy Campus, Wharncliffe data center mingo WV | mingo WV data center opposition OR moratorium OR rezoning OR petition | TransGas Development Systems data center WV residents"
133,prj_178,American Tower RA1,American Tower Corporation; CoreSite,NC,wake,proposals_unopposed,advanced_confirmed,,,American Tower RA1 NC | American Tower RA1 data center wake NC | wake NC data center opposition OR moratorium OR rezoning OR petition | American Tower Corporation; CoreSite data center NC residents
134,prj_149,Brookhaven National Laboratory Data Center,United States Department of Energy,NY,suffolk,proposals_unopposed,pending,2024-01-01,,Brookhaven National Laboratory Data Center NY | Brookhaven National Laboratory Data Center data center suffolk NY | suffolk NY data center opposition OR moratorium OR rezoning OR petition | United States Department of Energy data center NY residents
135,prj_198,Project Galaxy,Amazon Web Services,OH,shelby,proposals_unopposed,advanced_confirmed,2025-01-01,,Project Galaxy OH | Project Galaxy data center shelby OH | shelby OH data center opposition OR moratorium OR rezoning OR petition | Amazon Web Services data center OH residents
136,aic_0007,xAI Colossus 1,xAI,TN,,ai_centers,,,425.0,xAI Colossus 1 TN | xAI Colossus 1 data center TN | TN data center opposition OR moratorium OR rezoning OR petition | xAI data center TN residents
137,prj_24,Trumbull Data Center Investment,ogNOVUM / AC Trumbull LLC,CT,fairfield,proposals_unopposed,pending,2025-01-01,,Trumbull Data Center Investment CT | Trumbull Data Center Investment data center fairfield CT | fairfield CT data center opposition OR moratorium OR rezoning OR petition | ogNOVUM / AC Trumbull LLC data center CT residents
138,prj_210,Microsoft Hebron Data Center,Microsoft,OH,licking,proposals_unopposed,advanced_confirmed,2024-01-01,,Microsoft Hebron Data Center OH | Microsoft Hebron Data Center data center licking OH | licking OH data center opposition OR moratorium OR rezoning OR petition | Microsoft data center OH residents
139,prj_229,Fairview Crossroads Data Center,Fairview Crossroads LLC,PA,york,proposals_unopposed,pending,2025-07-01,,Fairview Crossroads Data Center PA | Fairview Crossroads Data Center data center york PA | york PA data center opposition OR moratorium OR rezoning OR petition | Fairview Crossroads LLC data center PA residents
140,prj_140,Andover Data Center,"Dykstra Associates, PC; Abbey Beta, LLC",NJ,sussex,proposals_unopposed,pending,2026-05-01,,"Andover Data Center NJ | Andover Data Center data center sussex NJ | sussex NJ data center opposition OR moratorium OR rezoning OR petition | Dykstra Associates, PC; Abbey Beta, LLC data center NJ residents"
141,prj_224,"Cipher Mining's ""Ulysses""",Cipher Mining,OH,union,proposals_unopposed,pending,2025-12-01,200.0,"Cipher Mining's ""Ulysses"" OH | Cipher Mining's ""Ulysses"" data center union OH | union OH data center opposition OR moratorium OR rezoning OR petition | Cipher Mining data center OH residents"
142,aic_0024,Coreweave Helios,Coreweave,TX,,ai_centers,,,0.0,Coreweave Helios TX | Coreweave Helios data center TX | TX data center opposition OR moratorium OR rezoning OR petition | Coreweave data center TX residents
143,aic_0006,xAI Colossus 2,xAI,TN,,ai_centers,,,302.0,xAI Colossus 2 TN | xAI Colossus 2 data center TN | TN data center opposition OR moratorium OR rezoning OR petition | xAI data center TN residents
144,prj_327,Lawrenceburg / Ethridge Data Center,"Cadence, LLC",TN,lawrence,proposals_unopposed,pending,2025-11-01,,"Lawrenceburg / Ethridge Data Center TN | Lawrenceburg / Ethridge Data Center data center lawrence TN | lawrence TN data center opposition OR moratorium OR rezoning OR petition | Cadence, LLC data center TN residents"
145,prj_83,Piney Reach Data Center Development,NAI Michael,MD,charles,proposals_unopposed,pending,2025-01-01,,Piney Reach Data Center Development MD | Piney Reach Data Center Development data center charles MD | charles MD data center opposition OR moratorium OR rezoning OR petition | NAI Michael data center MD residents
146,aic_0000,Anthropic-Amazon New Carlisle,Amazon,IN,,ai_centers,,,1092.0,Anthropic-Amazon New Carlisle IN | Anthropic-Amazon New Carlisle data center IN | IN data center opposition OR moratorium OR rezoning OR petition | Amazon data center IN residents
147,prj_326,5C Memphis Data Center,5C Group,TN,shelby,proposals_unopposed,advanced_confirmed,2025-11-01,60.0,5C Memphis Data Center TN | 5C Memphis Data Center data center shelby TN | shelby TN data center opposition OR moratorium OR rezoning OR petition | 5C Group data center TN residents
148,prj_177,Raleigh New Build Data Center,Flexential; GI Partners; Morgan Stanley Infrastructure Partners; Flexential,NC,wake,proposals_unopposed,advanced_confirmed,,,Raleigh New Build Data Center NC | Raleigh New Build Data Center data center wake NC | wake NC data center opposition OR moratorium OR rezoning OR petition | Flexential; GI Partners; Morgan Stanley Infrastructure Partners; Flexential data center NC residents
149,prj_207,Bitdeer Clarington Data Center,Bitdeer,OH,monroe,proposals_unopposed,advanced_confirmed,2025-12-01,,Bitdeer Clarington Data Center OH | Bitdeer Clarington Data Center data center monroe OH | monroe OH data center opposition OR moratorium OR rezoning OR petition | Bitdeer data center OH residents
150,prj_181,Project Fighting Pike,Critical Data House LLC,ND,williams,proposals_unopposed,advanced_confirmed,2025-03-01,455.0,Project Fighting Pike ND | Project Fighting Pike data center williams ND | williams ND data center opposition OR moratorium OR rezoning OR petition | Critical Data House LLC data center ND residents
151,prj_131,Project Mica,Google; Diode Ventures,MO,clay,proposals_unopposed,advanced_confirmed,2026-02-01,700.0,Project Mica MO | Project Mica data center clay MO | clay MO data center opposition OR moratorium OR rezoning OR petition | Google; Diode Ventures data center MO residents
152,prj_242,Allentown Warehouse Conversion Data Center,Langan Engineering; Quantm LLC,PA,lehigh,proposals_unopposed,pending,2026-05-01,,Allentown Warehouse Conversion Data Center PA | Allentown Warehouse Conversion Data Center data center lehigh PA | lehigh PA data center opposition OR moratorium OR rezoning OR petition | Langan Engineering; Quantm LLC data center PA residents
153,aic_0026,OpenAI Stargate Shackelford,Oracle,,,ai_centers,,,0.0,OpenAI Stargate Shackelford | OpenAI Stargate Shackelford data center | data center opposition OR moratorium OR rezoning OR petition | Oracle data center  residents
154,aic_0005,Microsoft Fairwater Atlanta,Microsoft,GA,,ai_centers,,,433.0,Microsoft Fairwater Atlanta GA | Microsoft Fairwater Atlanta data center GA | GA data center opposition OR moratorium OR rezoning OR petition | Microsoft data center GA residents
155,prj_292,Muncy Data Center,Danko Holdings II; Fishlips LLC; The Liberty Group,PA,lycoming,proposals_unopposed,pending,2026-04-01,,Muncy Data Center PA | Muncy Data Center data center lycoming PA | lycoming PA data center opposition OR moratorium OR rezoning OR petition | Danko Holdings II; Fishlips LLC; The Liberty Group data center PA residents
156,prj_202,Google Lockbourne,Google,OH,franklin,proposals_unopposed,advanced_confirmed,2021-01-01,,Google Lockbourne OH | Google Lockbourne data center franklin OH | franklin OH data center opposition OR moratorium OR rezoning OR petition | Google data center OH residents
157,aic_0020,Meta Hyperion,Meta,LA,,ai_centers,,,0.0,Meta Hyperion LA | Meta Hyperion data center LA | LA data center opposition OR moratorium OR rezoning OR petition | Meta data center LA residents
158,prj_25,Bristol Technology Center,GWDC Bristol LLC,CT,hartford,proposals_unopposed,pending,2023-01-01,,Bristol Technology Center CT | Bristol Technology Center data center hartford CT | hartford CT data center opposition OR moratorium OR rezoning OR petition | GWDC Bristol LLC data center CT residents
159,prj_10,Project Red Clay,Cloverleaf Infrastructure,AL,lowndes,proposals_unopposed,pending,2026-04-01,,Project Red Clay AL | Project Red Clay data center lowndes AL | lowndes AL data center opposition OR moratorium OR rezoning OR petition | Cloverleaf Infrastructure data center AL residents
160,prj_319,Sequitor Edge Rapid City,Sequitor Edge; Dream Design International; Elevate Rapid City; Black Hills Energy,SD,pennington,proposals_unopposed,pending,2026-02-01,2.0,Sequitor Edge Rapid City SD | Sequitor Edge Rapid City data center pennington SD | pennington SD data center opposition OR moratorium OR rezoning OR petition | Sequitor Edge; Dream Design International; Elevate Rapid City; Black Hills Energy data center SD residents
161,aic_0014,Fluidstack Lake Mariner,Fluidstack,NY,,ai_centers,,,68.0,Fluidstack Lake Mariner NY | Fluidstack Lake Mariner data center NY | NY data center opposition OR moratorium OR rezoning OR petition | Fluidstack data center NY residents
162,prj_250,Project Hummingbird,Essential Utilities,PA,greene,proposals_unopposed,pending,2025-10-01,910.0,Project Hummingbird PA | Project Hummingbird data center greene PA | greene PA data center opposition OR moratorium OR rezoning OR petition | Essential Utilities data center PA residents
163,prj_120,Jasper County Powered Data Park / Sarcoxie Data Center,Geronimo Power,MO,jasper,proposals_unopposed,pending,,,Jasper County Powered Data Park / Sarcoxie Data Center MO | Jasper County Powered Data Park / Sarcoxie Data Center data center jasper MO | jasper MO data center opposition OR moratorium OR rezoning OR petition | Geronimo Power data center MO residents
164,prj_44,JPG Data Center,JPG Redevelopment LLC,IN,jefferson,proposals_unopposed,advanced_confirmed,2026-02-01,,JPG Data Center IN | JPG Data Center data center jefferson IN | jefferson IN data center opposition OR moratorium OR rezoning OR petition | JPG Redevelopment LLC data center IN residents
165,prj_31,South Bend Data Center,Western Hospitality Partners,IN,st. joseph,proposals_unopposed,pending,2025-12-01,,South Bend Data Center IN | South Bend Data Center data center st. joseph IN | st. joseph IN data center opposition OR moratorium OR rezoning OR petition | Western Hospitality Partners data center IN residents
