fips,calibrated_score,has_enacted_restrictive,va_p_lower,va_p_upper,va_width,set_90,set_80,covered_90,covered_80
13003,0.0387,0,0.0,0.0526,0.0526,none_supported,none_supported,1,1
13005,0.0402,0,0.0082,0.0625,0.0543,none_supported,none_supported,1,1
13007,0.0268,0,0.0,0.0294,0.0294,none_supported,none_supported,1,1
13009,0.101,0,0.0743,0.2,0.1257,none_supported,none_supported,1,1
13011,0.0541,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13013,0.1225,0,0.1304,0.2589,0.1285,none_supported,none_supported,1,1
13015,0.1211,0,0.1304,0.2589,0.1285,none_supported,none_supported,1,1
13017,0.0616,0,0.0234,0.0787,0.0553,none_supported,none_supported,1,1
13019,0.0439,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13021,0.1866,0,0.1735,0.2787,0.1052,none_supported,atypical,1,0
13023,0.0436,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13025,0.0502,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13027,0.0519,1,0.0234,0.0744,0.051,none_supported,none_supported,0,0
13029,0.0869,0,0.0743,0.1429,0.0686,none_supported,none_supported,1,1
13031,0.106,1,0.0743,0.2195,0.1452,none_supported,none_supported,0,0
13033,0.0669,0,0.0234,0.0897,0.0664,none_supported,none_supported,1,1
13035,0.0729,0,0.0465,0.1176,0.0711,none_supported,none_supported,1,1
13037,0.0437,0,0.0106,0.0718,0.0611,none_supported,none_supported,1,1
13039,0.0886,1,0.0743,0.1765,0.1022,none_supported,none_supported,0,0
13043,0.0457,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13045,0.1249,0,0.1667,0.2589,0.0923,none_supported,none_supported,1,1
13047,0.1115,0,0.0743,0.1875,0.1132,none_supported,none_supported,1,1
13049,0.0382,0,0.0106,0.0688,0.0582,none_supported,none_supported,1,1
13051,0.2461,0,0.1735,0.3,0.1265,none_supported,atypical,1,0
13053,0.0481,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13055,0.0597,0,0.0234,0.08,0.0566,none_supported,none_supported,1,1
13057,0.185,1,0.1714,0.2589,0.0875,none_supported,atypical,0,0
13059,0.1974,1,0.1735,0.2787,0.1052,none_supported,atypical,0,0
13061,0.0338,0,0.0,0.039,0.039,none_supported,none_supported,1,1
13063,0.3159,1,0.25,0.5294,0.2794,none_supported,atypical,0,0
13065,0.0316,0,0.0,0.039,0.039,none_supported,none_supported,1,1
13067,0.3731,1,0.2623,0.5652,0.3029,none_supported,atypical,0,0
13069,0.078,0,0.0741,0.1212,0.0471,none_supported,none_supported,1,1
13071,0.0774,0,0.0741,0.125,0.0509,none_supported,none_supported,1,1
13073,0.1567,0,0.1714,0.2589,0.0875,none_supported,none_supported,1,1
13075,0.058,0,0.0234,0.0744,0.051,none_supported,none_supported,1,1
13077,0.3957,1,0.2623,0.5652,0.3029,none_supported,atypical,0,0
13079,0.0462,1,0.0106,0.0721,0.0615,none_supported,none_supported,0,0
13081,0.0692,0,0.0234,0.0833,0.0599,none_supported,none_supported,1,1
13083,0.0517,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13085,0.0693,0,0.0465,0.0833,0.0368,none_supported,none_supported,1,1
13087,0.0693,1,0.0234,0.1139,0.0905,none_supported,none_supported,0,0
13089,0.376,1,0.2623,0.5652,0.3029,none_supported,atypical,0,0
13091,0.0515,0,0.0106,0.0744,0.0637,none_supported,none_supported,1,1
13093,0.0515,0,0.0234,0.0744,0.051,none_supported,none_supported,1,1
13095,0.1531,1,0.1714,0.2589,0.0875,none_supported,none_supported,0,0
13097,0.2639,1,0.1735,0.3333,0.1599,none_supported,atypical,0,0
13099,0.0503,1,0.0106,0.0721,0.0615,none_supported,none_supported,0,0
13101,0.0208,0,0.0,0.0242,0.0242,none_supported,none_supported,1,1
13103,0.0985,0,0.0743,0.1765,0.1022,none_supported,none_supported,1,1
13105,0.055,0,0.0234,0.0761,0.0527,none_supported,none_supported,1,1
13107,0.0554,0,0.0234,0.0744,0.051,none_supported,none_supported,1,1
13109,0.0493,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13111,0.059,0,0.0234,0.08,0.0566,none_supported,none_supported,1,1
13113,0.19,1,0.1714,0.2787,0.1073,none_supported,atypical,0,0
13115,0.1131,1,0.1304,0.2195,0.0891,none_supported,none_supported,0,0
13117,0.212,1,0.1735,0.3,0.1265,none_supported,atypical,0,0
13119,0.059,0,0.0234,0.0787,0.0553,none_supported,none_supported,1,1
13121,0.5001,1,0.325,0.6,0.275,enacted_supported,atypical,1,0
13123,0.0653,1,0.0234,0.0833,0.0599,none_supported,none_supported,0,0
13125,0.0216,0,0.0,0.0244,0.0244,none_supported,none_supported,1,1
13127,0.1186,1,0.1304,0.2195,0.0891,none_supported,none_supported,0,0
13129,0.0863,1,0.0743,0.1765,0.1022,none_supported,none_supported,0,0
13131,0.0684,0,0.0234,0.0833,0.0599,none_supported,none_supported,1,1
13133,0.0592,0,0.0234,0.08,0.0566,none_supported,none_supported,1,1
13135,0.4434,0,0.2623,0.5652,0.3029,none_supported,atypical,1,0
13137,0.08,0,0.0743,0.125,0.0507,none_supported,none_supported,1,1
13139,0.1587,1,0.1714,0.2589,0.0875,none_supported,none_supported,0,0
13141,0.0577,0,0.0234,0.0761,0.0527,none_supported,none_supported,1,1
13143,0.0678,0,0.0234,0.08,0.0566,none_supported,none_supported,1,1
13145,0.0709,0,0.0465,0.1176,0.0711,none_supported,none_supported,1,1
13147,0.0695,0,0.0234,0.0833,0.0599,none_supported,none_supported,1,1
13149,0.0424,0,0.0082,0.0704,0.0622,none_supported,none_supported,1,1
13151,0.2267,1,0.1735,0.3,0.1265,none_supported,atypical,0,0
13153,0.1644,0,0.1714,0.2589,0.0875,none_supported,none_supported,1,1
13155,0.041,0,0.0,0.0571,0.0571,none_supported,none_supported,1,1
13157,0.1086,0,0.0743,0.1765,0.1022,none_supported,none_supported,1,1
13159,0.0492,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13161,0.0485,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13163,0.0595,0,0.0234,0.0761,0.0527,none_supported,none_supported,1,1
13165,0.0442,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13167,0.038,0,0.0106,0.0694,0.0588,none_supported,none_supported,1,1
13169,0.0705,1,0.0234,0.0854,0.062,none_supported,none_supported,0,0
13171,0.0629,1,0.0234,0.08,0.0566,none_supported,none_supported,0,0
13173,0.046,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13175,0.0817,0,0.0743,0.125,0.0507,none_supported,none_supported,1,1
13177,0.0717,0,0.0465,0.1212,0.0747,none_supported,none_supported,1,1
13179,0.1245,0,0.1304,0.2273,0.0968,none_supported,none_supported,1,1
13181,0.0399,0,0.0,0.0571,0.0571,none_supported,none_supported,1,1
13183,0.059,0,0.0234,0.0761,0.0527,none_supported,none_supported,1,1
13185,0.1395,1,0.1707,0.2589,0.0882,none_supported,none_supported,0,0
13187,0.0705,0,0.0465,0.1139,0.0674,none_supported,none_supported,1,1
13189,0.0684,0,0.0234,0.087,0.0636,none_supported,none_supported,1,1
13191,0.0468,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13193,0.0595,0,0.0234,0.0761,0.0527,none_supported,none_supported,1,1
13195,0.0709,0,0.0465,0.1053,0.0588,none_supported,none_supported,1,1
13197,0.0396,0,0.0,0.0571,0.0571,none_supported,none_supported,1,1
13199,0.0612,0,0.0234,0.08,0.0566,none_supported,none_supported,1,1
13201,0.0354,0,0.0,0.039,0.039,none_supported,none_supported,1,1
13205,0.0667,0,0.0234,0.0833,0.0599,none_supported,none_supported,1,1
13207,0.068,1,0.0234,0.0833,0.0599,none_supported,none_supported,0,0
13209,0.0411,0,0.0,0.0571,0.0571,none_supported,none_supported,1,1
13211,0.057,0,0.0234,0.0782,0.0548,none_supported,none_supported,1,1
13213,0.0692,0,0.0465,0.1139,0.0674,none_supported,none_supported,1,1
13215,0.2503,0,0.1735,0.3333,0.1599,none_supported,atypical,1,0
13217,0.2125,1,0.1735,0.2787,0.1052,none_supported,atypical,0,0
13219,0.0946,0,0.0743,0.1765,0.1022,none_supported,none_supported,1,1
13221,0.0525,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13223,0.1605,0,0.1714,0.2589,0.0875,none_supported,none_supported,1,1
13225,0.0914,0,0.0743,0.1525,0.0783,none_supported,none_supported,1,1
13227,0.0745,0,0.0465,0.1139,0.0674,none_supported,none_supported,1,1
13229,0.0536,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13231,0.0554,1,0.0106,0.0721,0.0615,none_supported,none_supported,0,0
13233,0.0745,1,0.0743,0.125,0.0507,none_supported,none_supported,0,0
13235,0.0452,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13237,0.0599,0,0.0234,0.08,0.0566,none_supported,none_supported,1,1
13239,0.0251,0,0.0,0.0274,0.0274,none_supported,none_supported,1,1
13241,0.0504,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13243,0.0439,0,0.0106,0.0708,0.0601,none_supported,none_supported,1,1
13245,0.2199,1,0.1735,0.3,0.1265,none_supported,atypical,0,0
13247,0.1819,1,0.1735,0.2787,0.1052,none_supported,atypical,0,0
13249,0.0314,0,0.0,0.0341,0.0341,none_supported,none_supported,1,1
13251,0.0502,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13253,0.044,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13255,0.1208,1,0.1304,0.2589,0.1285,none_supported,none_supported,0,0
13257,0.0654,0,0.0465,0.0833,0.0368,none_supported,none_supported,1,1
13259,0.038,0,0.0,0.0571,0.0571,none_supported,none_supported,1,1
13261,0.0826,0,0.0465,0.125,0.0785,none_supported,none_supported,1,1
13263,0.043,0,0.0,0.0694,0.0694,none_supported,none_supported,1,1
13265,0.0269,0,0.0,0.0294,0.0294,none_supported,none_supported,1,1
13267,0.063,0,0.0234,0.0795,0.0562,none_supported,none_supported,1,1
13269,0.037,0,0.0,0.0571,0.0571,none_supported,none_supported,1,1
13271,0.0428,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13273,0.0491,0,0.0234,0.0744,0.051,none_supported,none_supported,1,1
13275,0.0874,1,0.0743,0.1429,0.0686,none_supported,none_supported,0,0
13277,0.0857,0,0.0743,0.1667,0.0924,none_supported,none_supported,1,1
13279,0.0644,0,0.0234,0.0833,0.0599,none_supported,none_supported,1,1
13281,0.0466,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13283,0.0378,0,0.0,0.05,0.05,none_supported,none_supported,1,1
13285,0.1069,1,0.0743,0.2195,0.1452,none_supported,none_supported,0,0
13287,0.0454,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13289,0.0444,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13291,0.058,0,0.0234,0.08,0.0566,none_supported,none_supported,1,1
13293,0.0713,0,0.0465,0.1111,0.0646,none_supported,none_supported,1,1
13295,0.0931,1,0.0743,0.1765,0.1022,none_supported,none_supported,0,0
13297,0.1189,1,0.1304,0.2589,0.1285,none_supported,none_supported,0,0
13299,0.0693,0,0.0234,0.0833,0.0599,none_supported,none_supported,1,1
13301,0.04,0,0.0,0.0571,0.0571,none_supported,none_supported,1,1
13303,0.0654,0,0.0234,0.0833,0.0599,none_supported,none_supported,1,1
13305,0.0653,0,0.0234,0.08,0.0566,none_supported,none_supported,1,1
13307,0.0255,0,0.0,0.0282,0.0282,none_supported,none_supported,1,1
13309,0.0394,0,0.0,0.0526,0.0526,none_supported,none_supported,1,1
13311,0.0591,0,0.0234,0.0833,0.0599,none_supported,none_supported,1,1
13313,0.128,0,0.1304,0.2589,0.1285,none_supported,none_supported,1,1
13315,0.0387,0,0.0,0.0571,0.0571,none_supported,none_supported,1,1
13317,0.0439,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13319,0.0459,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
13321,0.0556,0,0.0106,0.0738,0.0631,none_supported,none_supported,1,1
15001,0.1559,0,0.1714,0.2589,0.0875,none_supported,none_supported,1,1
15003,0.3366,0,0.25,0.5294,0.2794,none_supported,atypical,1,0
15005,0.0057,0,0.0,0.0183,0.0183,none_supported,none_supported,1,1
15007,0.1263,0,0.1569,0.2273,0.0704,none_supported,none_supported,1,1
15009,0.1633,0,0.1714,0.2698,0.0984,none_supported,none_supported,1,1
16001,0.2735,1,0.2,0.4,0.2,none_supported,atypical,0,0
16003,0.0242,0,0.0,0.0253,0.0253,none_supported,none_supported,1,1
16005,0.1065,0,0.0743,0.2195,0.1452,none_supported,none_supported,1,1
16007,0.031,0,0.0,0.0366,0.0366,none_supported,none_supported,1,1
16009,0.0338,0,0.0,0.0455,0.0455,none_supported,none_supported,1,1
16011,0.0695,0,0.0234,0.0809,0.0575,none_supported,none_supported,1,1
16013,0.0709,0,0.0234,0.1,0.0766,none_supported,none_supported,1,1
16015,0.0294,0,0.0,0.0357,0.0357,none_supported,none_supported,1,1
16017,0.0712,0,0.0465,0.0971,0.0506,none_supported,none_supported,1,1
16019,0.1073,0,0.0889,0.2,0.1111,none_supported,none_supported,1,1
