action,state,county,fips,in_frame_basis,census_status,census_date,gap_class,label_check,model_label,label_divergence,tracker_restrictive_records,tracker_nonterminal_records,stale_nonterminal_records,latest_tracker_date,adjacency_priority,enacted_neighbors,census_source
covered,TN,Anderson County,47001,state_expansion,,,,,1,0,2,1,0,2026-06-15,,,
covered,TN,Coffee County,47031,state_expansion,active,2026-06-09,covered_confirmed,agree,1,0,1,0,0,2026-06-09,,,https://www.newschannel5.com/news/state/tennessee/coffee-county/coffee-county-bans-new-data-centers-for-one-year (hawthorn-tva-review-2026-08-21: one-year term)
covered,TN,Grundy County,47061,state_expansion,active,2026-05-18,covered_confirmed,agree,1,0,1,0,0,2026-05-18,,,https://www.sewaneemessenger.com/headlines/?post_id=3474&title=trend-setting-grundy-county-data-center-moratorium (hawthorn-tva-review-2026-08-21: two-year term to 2028-05-18)
covered,TN,Hamilton County,47065,state_expansion,active,2026-07-15,covered_confirmed,agree,1,0,1,0,0,2026-07-15,,,https://www.timesfreepress.com/news/2026/jul/15/hamilton-county-commission-approves-yearlong-data/ (hawthorn-tva-review-2026-08-21: one-year term)
covered,TN,Hawkins County,47073,state_expansion,active,2025-09-22,covered_confirmed,agree,1,0,1,0,0,,,,"moratorium-nation:tn-hawkins-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
covered,TN,Knox County,47093,state_expansion,,,,,1,0,3,1,0,2026-07-07,,,
covered,TN,Loudon County,47105,state_expansion,,,,,1,0,1,0,0,2026-06-30,,,
covered,TN,Roane County,47145,state_expansion,,,,,1,0,1,0,0,2026-07-14,,,
covered,TN,Robertson County,47147,state_expansion,,,,,1,0,1,0,0,2026-06-01,,,
covered,TN,Shelby County,47157,state_expansion,,,,,1,0,1,0,0,2025-03-04,,,
covered,TN,Sumner County,47165,state_expansion,active,2026-07-29,covered_confirmed,agree,1,0,1,0,0,2026-07-29,,,https://www.wsmv.com/2026/07/29/future-data-centers-unclear-midstate-one-county-tables-moratorium-other-area-passes-pause-applications/ (hawthorn-tva-review-2026-08-21: Gallatin city action)
covered,TN,Warren County,47177,state_expansion,,,,,1,0,2,1,0,2026-06-22,,,
covered,TN,Washington County,47179,state_expansion,active,2026-03-23,covered_confirmed,agree,1,0,3,0,0,2026-05-22,,,"moratorium-nation:tn-washington-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
covered,VA,Culpeper County,51047,state_expansion,,,,,1,0,1,0,0,2025-09-02,,,
covered,VA,Fairfax County,51059,state_expansion,,,,,1,0,1,0,0,2024-09-10,,,
covered,VA,Fauquier County,51061,state_expansion,,,,,1,0,2,0,0,2025-08-25,,,
covered,VA,Fluvanna County,51065,state_expansion,replaced,2025-09-17,covered_confirmed,agree,1,0,1,0,0,2025-11-19,,,"moratorium-nation:va-fluvanna-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
covered,VA,Franklin County,51067,state_expansion,,,,,0,0,1,1,0,2026-05-06,,,
covered,VA,Frederick County,51069,state_expansion,,,,,0,0,2,0,0,2026-07-08,3,1,
covered,VA,Goochland County,51075,state_expansion,,,,,0,0,1,0,0,2025-08-01,3,2,
covered,VA,Hanover County,51085,state_expansion,,,,,0,0,1,0,0,2026-05-28,3,2,
covered,VA,Henrico County,51087,state_expansion,,,,,1,0,3,1,0,2026-05-18,,,
covered,VA,Loudoun County,51107,state_expansion,,,,,1,0,1,0,0,2025-03-01,,,
covered,VA,Louisa County,51109,state_expansion,,,,,0,0,1,0,0,2025-07-25,3,2,
covered,VA,Pittsylvania County,51143,state_expansion,,,,,0,0,1,0,0,2025-04-01,3,1,
covered,VA,Powhatan County,51145,state_expansion,,,,,0,0,1,0,0,2025-10-29,3,1,
covered,VA,Roanoke County,51161,state_expansion,,,,,0,0,1,1,0,2026-08-11,,,
covered,VA,Stafford County,51179,state_expansion,,,,,1,0,1,0,0,2025-10-22,,,
covered,VA,Warren County,51187,state_expansion,,,,,1,0,1,0,0,2026-07-07,,,
covered,VA,Wythe County,51197,state_expansion,,,,,0,0,1,1,0,2026-04-22,,,
covered,VA,York County,51199,state_expansion,,,,,0,0,1,1,0,2026-04-08,,,
