severity,flag,opp_id,state,identifier,recorded_status,recorded_normalized,stage,correct_outcome,stage_date,stage_evidence,possible_sine_die,openstates_url,incident,date,note
HIGH,milestone_coded_as_enacted,opp_59b45da5fc73,NJ,S 4411,passed,Approved,Introduced,Pending,2026-06-04,"introduction: Introduced in the Senate, Referred to Senate Economic Growth Committee",,https://openstates.org/nj/bills/222/S4411/,New Jersey General Assembly (S4390/A5165 AI/data center tax credit clawback),2026-06-30,
HIGH,milestone_coded_as_enacted,opp_6f4f6d13b784,NJ,S 731,passed,Approved,Introduced,Pending,2026-01-13,"introduction: Introduced in the Senate, Referred to Senate Economic Growth Committee",,https://openstates.org/nj/bills/222/S731/,State of New Jersey (S731/A796 'Data Center Fair Share Act' signed),2026-07-07,
HIGH,milestone_coded_as_enacted,opp_59b45da5fc73,NJ,S 731,passed,Approved,Introduced,Pending,2026-01-13,"introduction: Introduced in the Senate, Referred to Senate Economic Growth Committee",,https://openstates.org/nj/bills/222/S731/,New Jersey General Assembly (S4390/A5165 AI/data center tax credit clawback),2026-06-30,
HIGH,milestone_coded_as_enacted,opp_2b5062d71994,SD,HB 1005,passed,Approved,Introduced,Pending,2026-01-13,introduction: First read in House and referred to House State Affairs H.J. 15,,https://openstates.org/sd/bills/2026/HB1005/,South Dakota (moratorium/incentive defeat),2026-02-24,
HIGH,recorded_blocked_but_enacted,opp_1763a86c026b,SD,SB 135,defeated,Blocked,Signed into law,Approved,2026-03-30,executive-signature: Signed by the Governor on 2026-03-30 S.J. 549,,https://openstates.org/sd/bills/2026/SB135/,South Dakota (SB 232),2026-02-18,
HIGH,milestone_coded_as_enacted,opp_2b5062d71994,SD,SB 232,passed,Approved,Introduced,Pending,2026-02-05,introduction: Referred to Senate State Affairs S.J. 199,,https://openstates.org/sd/bills/2026/SB232/,South Dakota (moratorium/incentive defeat),2026-02-24,
HIGH,milestone_coded_as_enacted,opp_163684cd2c66,TN,SB 2,signed,Approved,Introduced,Pending,2024-11-12,introduction: Filed for introduction,,https://openstates.org/tn/bills/114/SB2/,Tennessee Legislature (HB1847/SB2128 data-center self-generation),2026-01-26,
HIGH,milestone_coded_as_enacted,opp_163684cd2c66,TN,SB 2128,signed,Approved,Introduced,Pending,2026-01-22,introduction: Filed for introduction,,https://openstates.org/tn/bills/114/SB2128/,Tennessee Legislature (HB1847/SB2128 data-center self-generation),2026-01-26,
HIGH,milestone_coded_as_enacted,opp_7bd467275f0e,TX,SB 6,passed,Approved,Passed one chamber,Pending,2025-08-12,passage in upper,yes,https://openstates.org/tx/bills/891/SB6/,Texas (statewide SB 6),2025-06-20,
HIGH,recorded_approved_but_terminal_blocked,opp_a22d34ea887a,VA,HB 1393,passed,Approved,Vetoed,Blocked,2026-04-13,executive-veto-line-item: Governor's recommendation received by House,,https://openstates.org/va/bills/2026/HB1393/,Virginia (statewide),2026-04-16,
HIGH,recorded_approved_but_terminal_blocked,opp_a22d34ea887a,VA,SB 253,passed,Approved,Vetoed,Blocked,2026-04-13,executive-veto-line-item: Governor's recommendation received by Senate,,https://openstates.org/va/bills/2026/SB253/,Virginia (statewide),2026-04-16,
HIGH,recorded_approved_but_terminal_blocked,opp_585738332a95,VA,SB 253,signed,Approved,Vetoed,Blocked,2026-04-13,executive-veto-line-item: Governor's recommendation received by Senate,,https://openstates.org/va/bills/2026/SB253/,Virginia (statewide SB 253 rate shift),2026-02-10,
HIGH,recorded_blocked_but_enacted,opp_3cabf3860557,WV,HB 2014,defeated,Blocked,Signed into law,Approved,2025-04-12,executive-signature: Approved by Governor 4/30/2025 - Senate Journal,,https://openstates.org/wv/bills/2025/HB2014/,West Virginia (SB 658 local control),2026-02-25,
HIGH,milestone_coded_as_enacted,opp_5d1c237068fa,WV,HB 5590,passed,Approved,Introduced,Pending,2026-02-16,introduction: Filed for introduction,,https://openstates.org/wv/bills/2026/HB5590/,West Virginia (statewide),2026-01-01,
HIGH,milestone_coded_as_enacted,opp_5d1c237068fa,WV,HB 5620,passed,Approved,Introduced,Pending,2026-02-16,introduction: Filed for introduction,,https://openstates.org/wv/bills/2026/HB5620/,West Virginia (statewide),2026-01-01,
MEDIUM,recorded_terminal_but_bill_in_progress,opp_b670d873b817,AK,HB 259,dead,Blocked,Introduced,Pending,2026-01-20,introduction: (H) Prefile released 1/16/26,,https://openstates.org/ak/bills/34/HB259/,Alaska (statewide),2026-01-01,
MEDIUM,recorded_terminal_but_bill_in_progress,opp_b670d873b817,AK,SB 250,dead,Blocked,Passed one chamber,Pending,2026-05-16,passage in upper,,https://openstates.org/ak/bills/34/SB250/,Alaska (statewide),2026-01-01,
MEDIUM,terminal_disposition_not_yet_recorded,opp_32a96eb7865e,AZ,HB 2452,active,Pending,Failed floor vote,Blocked,2026-02-25,failure: FAILED,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,Arizona (statewide HB 2756),2026-02-01,
MEDIUM,terminal_disposition_not_yet_recorded,opp_32a96eb7865e,AZ,HB 2457,active,Pending,Failed floor vote,Blocked,2026-02-25,failure: FAILED,,https://openstates.org/az/bills/57th-2nd-regular/HB2457/,Arizona (statewide HB 2756),2026-02-01,
