fips,county_name,median_hh_income,population,land_sqmi,pop_density_sqmi,pct_bachelors_plus,acs_vintage,source
02130,"Ketchikan Gateway Borough, Alaska",89155,13870,4857.02,2.86,26.97,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02150,"Kodiak Island Borough, Alaska",83716,12878,6689.481,1.93,28.61,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02158,"Kusilvak Census Area, Alaska",48233,8277,17077.09,0.48,5.76,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02164,"Lake and Peninsula Borough, Alaska",64000,1007,23831.86,0.04,18.4,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02170,"Matanuska-Susitna Borough, Alaska",90625,110677,24707.306,4.48,24.28,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02180,"Nome Census Area, Alaska",76643,9925,22969.508,0.43,17.45,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02185,"North Slope Borough, Alaska",86313,10891,88823.624,0.12,14.93,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02188,"Northwest Arctic Borough, Alaska",81298,7611,35663.282,0.21,12.39,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02195,"Petersburg Borough, Alaska",77026,3394,2900.828,1.17,27.45,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02198,"Prince of Wales-Hyder Census Area, Alaska",59079,5730,5267.817,1.09,16.98,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02220,"Sitka City and Borough, Alaska",101207,8393,2870.063,2.92,34.37,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02230,"Skagway Municipality, Alaska",78594,1308,433.971,3.01,27.75,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02240,"Southeast Fairbanks Census Area, Alaska",74223,6936,24832.27,0.28,19.58,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
