state,county,census_instrument,census_status,census_episodes,census_statuses,census_date,census_source,tracker_mechanism,tracker_outcome,tracker_date,model_label,join_status,gap_class,label_check,label_false_negative
ID,Kootenai County,moratorium,replaced,1,replaced,2025-03-11,"moratorium-nation:id-kootenai-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",ban,blocked_unverified,2025-03-02,1,joined,covered_unconfirmed,agree,0
IL,Champaign County,moratorium,active,1,active,2026-04-23,"moratorium-nation:il-champaign-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2026-04-23,1,joined,covered_confirmed,agree,0
IL,Morgan County,moratorium,active,1,active,2026-04-27,"moratorium-nation:il-morgan-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2026-04-27,1,joined,covered_unconfirmed,agree,0
IN,Boone County,moratorium,active,1,active,2026-06-15,https://boonecounty.in.gov/2026/06/15/19190/,moratorium,blocked_confirmed,2026-06-15,1,joined,covered_confirmed,agree,0
IN,Cass County,ban,active,1,active,,https://www.wfyi.org/statewide/2026-07-06/indiana-counties-data-center-moratoriums-bans-2026 (per IU ERI via WFYI 2026-07-06; prior citation pointed to a Starke County article and was corrected 2026-08-21),ban,blocked_confirmed,2026-07-06,1,joined,covered_confirmed,agree,0
IN,DeKalb County,moratorium,active,1,active,2026-04-13,"moratorium-nation:in-dekalb-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,pending,2026-04-14,0,joined,covered_unconfirmed,label_false_negative,1
IN,Dearborn County,moratorium,active,1,active,2026-02-24,"moratorium-nation:in-dearborn-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2026-02-25,1,joined,covered_confirmed,agree,0
IN,Franklin County,moratorium,extended,1,extended,2025-12-24,"moratorium-nation:in-franklin-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2026-02-24,1,joined,covered_unconfirmed,agree,0
IN,Fulton County,moratorium,active,1,active,2026-03-02,"moratorium-nation:in-fulton-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2026-03-03,1,joined,covered_confirmed,agree,0
IN,Grant County,moratorium,active,1,active,2026-03-02,https://www.chronicle-tribune.com/,moratorium,blocked_confirmed,2026-03-02,1,joined,covered_confirmed,agree,0
