state,county,instrument,census_status,date_enacted,source
MD,Howard County,moratorium,pending,2026-06-01,"moratorium-nation:md-howard-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
MD,Montgomery County,moratorium,active,2026-07-28,"moratorium-nation:md-montgomery-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
MD,Washington County,moratorium,active,2026-06-30,"moratorium-nation:md-washington-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
MD,Worcester County,moratorium,pending,2026-07-07,"moratorium-nation:md-worcester-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
MI,Delta County,moratorium,active,2026-07-21,"moratorium-nation:mi-delta-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
MI,Huron County,moratorium,active,2026-05-27,"moratorium-nation:mi-huron-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
MN,Le Sueur County,moratorium,active,2026-05-26,"moratorium-nation:mn-le-sueur-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
MN,Wright County,moratorium,active,2026-05-19,"moratorium-nation:mn-wright-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
MO,Marion County,moratorium,active,2026-06-15,"moratorium-nation:mo-marion-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
MO,Nodaway County,moratorium,active,2026-07-21,"moratorium-nation:mo-nodaway-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
MO,St. Charles County,moratorium,active,2026-07-13,"moratorium-nation:mo-st-charles-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
MO,Webster County,moratorium,active,2026-06-16,"moratorium-nation:mo-webster-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
MT,Missoula County,moratorium,active,2026-07-09,"moratorium-nation:mt-missoula-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NE,Cherry County,moratorium,active,2026-07-14,"moratorium-nation:ne-cherry-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NE,Logan County,moratorium,active,2026-07-15,"moratorium-nation:ne-logan-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NE,Seward County,moratorium,active,2026-06-30,"moratorium-nation:ne-seward-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NV,Humboldt County,moratorium,active,2026-07-06,"moratorium-nation:nv-humboldt-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NV,Nye County,moratorium,active,2026-06-02,"moratorium-nation:nv-nye-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NM,Santa Fe County,moratorium,active,2026-06-30,"moratorium-nation:nm-santa-fe-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NM,Sierra County,moratorium,pending,2026-07-21,"moratorium-nation:nm-sierra-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NM,Socorro County,moratorium,active,2026-06-09,"moratorium-nation:nm-socorro-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NC,Cumberland County,moratorium,active,2026-06-15,"moratorium-nation:nc-cumberland-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NC,Davie County,moratorium,active,2026-07-06,"moratorium-nation:nc-davie-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NC,Durham County,moratorium,active,2026-06-22,"moratorium-nation:nc-durham-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NC,Harnett County,moratorium,active,2026-05-05,"moratorium-nation:nc-harnett-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NC,Northampton County,moratorium,active,2026-05-04,"moratorium-nation:nc-northampton-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NC,Pasquotank County,moratorium,active,2026-05-18,"moratorium-nation:nc-pasquotank-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NC,Surry County,moratorium,extended,2026-06,"moratorium-nation:nc-surry-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
ND,Barnes County,moratorium,active,2026-05-19,"moratorium-nation:nd-barnes-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
OH,Butler County,moratorium,active,2026-06-16,"moratorium-nation:oh-butler-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
