fips,raw_oof_score,calibrated_score,score_decile,has_enacted_restrictive
38011,0.0303,0.0264,1,0
38013,0.0254,0.0227,1,0
38015,0.1441,0.1459,9,0
38017,0.3185,0.3436,10,0
38019,0.0317,0.0282,2,0
38021,0.0678,0.063,6,0
38023,0.0239,0.02,1,0
38025,0.0274,0.0236,1,1
38027,0.0305,0.0266,1,0
38029,0.0269,0.0227,1,0
38031,0.0378,0.0341,2,0
38033,0.0209,0.0172,1,0
38035,0.1266,0.1249,8,0
38037,0.0246,0.0205,1,0
38039,0.0298,0.0263,1,0
38041,0.0251,0.0224,1,0
38043,0.0262,0.0235,1,0
38045,0.035,0.0303,2,0
38047,0.0276,0.0234,1,0
38049,0.0324,0.0279,2,0
38051,0.0244,0.0218,1,0
38053,0.0462,0.0425,4,0
38055,0.0436,0.0399,3,0
38057,0.0838,0.0793,7,1
38059,0.077,0.0723,6,1
38061,0.0409,0.036,3,0
38063,0.0312,0.0283,2,0
38065,0.049,0.0439,4,1
38067,0.0407,0.0375,3,0
38069,0.0337,0.0296,2,0
38071,0.0531,0.046,4,0
38073,0.0369,0.0321,2,0
38075,0.0266,0.0233,1,0
38077,0.0568,0.0535,5,0
38079,0.0467,0.0435,4,0
38081,0.0304,0.0242,1,0
38083,0.021,0.0157,1,0
38085,0.025,0.0217,1,0
38087,0.0181,0.0133,1,0
38089,0.0792,0.0766,7,0
38091,0.0286,0.0252,1,0
38093,0.0596,0.0563,5,0
38095,0.0232,0.0207,1,0
38097,0.0509,0.0476,4,0
38099,0.0431,0.0394,3,0
38101,0.1048,0.1009,8,0
38103,0.0317,0.0281,2,0
38105,0.2134,0.2246,9,1
39001,0.2207,0.237,10,1
39003,0.2184,0.2226,9,1
39005,0.097,0.0956,7,0
39007,0.1024,0.0984,8,0
39009,0.1258,0.1268,8,0
39011,0.0891,0.0864,7,0
39013,0.0936,0.0896,7,0
39015,0.1532,0.1541,9,1
39017,0.4007,0.4227,10,1
39019,0.0638,0.0605,5,0
39021,0.158,0.1593,9,1
39023,0.217,0.2325,9,1
39025,0.1958,0.1989,9,0
39027,0.1615,0.1622,9,1
39029,0.1064,0.1025,8,0
39031,0.0723,0.0659,6,0
39033,0.0783,0.0752,7,0
39035,0.4996,0.5446,10,1
39037,0.0789,0.0762,7,0
39039,0.0814,0.0784,7,0
39041,0.4265,0.4647,10,1
39043,0.1529,0.1567,9,0
