opposed_project_id,opposed_project_name,opposed_state,opposed_lifecycle_outcome,opposed_decided,opposed_capacity_mw,opposed_county_margin_2024,control_rank,control_universe_id,control_name,control_source,control_state,control_capacity_mw,control_county_margin_2024,match_distance,match_basis,match_relaxation,match_scope
prj_223,Project BOSC,OH,pending,no,,-0.4410,2,prj_218,PORTS Technology Center,proposals_unopposed,OH,10000.0,-0.5368,0.0958,margin,state+tercile+caliper,in_state
prj_223,Project BOSC,OH,pending,no,,-0.4410,3,prj_130,White Cloud Acres,proposals_unopposed,MO,600.0,-0.4374,1.5036,margin,national+caliper,national_fallback
prj_225,Bitdeer Weathersfield Project,OH,pending,no,300.0,-0.1681,1,atl_00324,Unknown,atlas,OH,,-0.1415,0.7266,margin,state+tercile+caliper,in_state
prj_225,Bitdeer Weathersfield Project,OH,pending,no,300.0,-0.1681,2,atl_01104,Google,atlas,OH,,-0.2405,0.7724,margin,state+tercile+caliper,in_state
prj_225,Bitdeer Weathersfield Project,OH,pending,no,300.0,-0.1681,3,atl_01043,Carrier Services Group,atlas,OH,,-0.0942,0.7739,margin,state+tercile+caliper,in_state
prj_227,Meta Bowling Green Data Center,OH,advanced_confirmed,yes,,-0.1015,1,prj_204,Cologix Lewis Center Data Center,proposals_unopposed,OH,120.0,-0.0659,0.0356,margin,state+tercile+caliper,in_state
prj_227,Meta Bowling Green Data Center,OH,advanced_confirmed,yes,,-0.1015,2,atl_01043,Carrier Services Group,atlas,OH,,-0.0942,0.7073,margin,state+tercile+caliper,in_state
prj_227,Meta Bowling Green Data Center,OH,advanced_confirmed,yes,,-0.1015,3,atl_01188,Unknown,atlas,OH,,-0.0659,0.7356,margin,state+tercile+caliper,in_state
prj_230,Project Hazelnut,PA,blocked_confirmed,yes,,-0.1917,1,prj_308,Cumru Titus Data Center,proposals_unopposed,PA,200.0,-0.1218,0.0699,margin,state+tercile+caliper,in_state
prj_230,Project Hazelnut,PA,blocked_confirmed,yes,,-0.1917,2,prj_302,TECfusions “Keystone Connect” AI Campus,proposals_unopposed,PA,336.0,-0.2842,0.0925,margin,state+tercile+caliper,in_state
prj_230,Project Hazelnut,PA,blocked_confirmed,yes,,-0.1917,3,prj_143,Massena Petawatt Data Center Site Advertisement,proposals_unopposed,NY,200.0,-0.1800,1.5117,margin,national+caliper,national_fallback
