source,as_of,name,state,announced_date,county,capacity_mw,decision_date,status,source_url,operator
loudoun_lola,2026-08-18,Bridgefield Tech Center,VA,2026-07-28,,,,Submitted - Online,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Twin Creeks Buildings 1-3,VA,2026-07-29,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,AWS 42949 Fadeley Lane,VA,2026-08-11,,,,Submitted - Online,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,INTERGATE ASHBURN DATA CENTER,VA,2012-05-31,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,TRUE NORTH DATA,VA,2018-01-05,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,TRUE NORTH DATA SWM,VA,2018-05-10,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,AMAZON DATA SERVICES,VA,2020-10-08,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,AREP BEAUMEADE DATA CENTER,VA,2021-02-26,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Floodplain Study for LC11 & LC12 Data Center,VA,2023-09-07,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Floodplain Alteration for LC11 & LC12 Data Center,VA,2023-09-20,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Silverbrook Center Floodplain Study,VA,2023-12-14,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Silverbrook Center Floodplain Alteration,VA,2023-12-14,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Ashbrook Tech Center Floodplain Study,VA,2025-09-11,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Clintmar,VA,2026-03-09,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Ashburn Data Center Floodplain Alteration,VA,2026-04-01,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,LOUDOUN METRO DATA CENTERS LM1 & LM2,VA,2013-06-19,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,ASHBURN NEXUS,VA,2018-02-06,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,606 DATA CENTER,VA,2018-06-27,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,CYRUSONE KINCORA LB Q PH 3,VA,2019-01-24,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,RAGINGWIRE VA3 GREENFIELDS,VA,2020-02-13,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
