state,county,instrument,census_status,date_enacted,source
KY,Breckinridge County,moratorium,active,2025-12-05,"moratorium-nation:ky-breckinridge-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
KY,Meade County Fiscal Court,moratorium,active,2026-01-13,"moratorium-nation:ky-meade-county-fiscal-court-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
KY,Oldham County Fiscal Court,moratorium,extended,2025-06-26,"moratorium-nation:ky-oldham-county-fiscal-court-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
MD,Baltimore County,moratorium,active,2026-02-02,"moratorium-nation:md-baltimore-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
MD,Prince George's County,moratorium,active,2025-09-16,"moratorium-nation:md-prince-george-s-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
MO,Jackson County,moratorium,pending,,"moratorium-nation:mo-jackson-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NC,Chatham County,moratorium,active,2026-02-11,"moratorium-nation:nc-chatham-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NC,Clay County (permanent restriction after earlier crypto moratorium),moratorium,active,2026-01-08,"moratorium-nation:nc-clay-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NC,Gates County,moratorium,active,2025-12-17,"moratorium-nation:nc-gates-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NC,Madison County (cryptocurrency mining; data-center-adjacent),moratorium,expired,2023-06-13,"moratorium-nation:nc-madison-county-2023 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NC,Orange County,moratorium,active,2026-04-21,"moratorium-nation:nc-orange-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NC,Rowan County,moratorium,active,2026-04-20,"moratorium-nation:nc-rowan-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NC,Swain County,moratorium,active,2026-04-21,"moratorium-nation:nc-swain-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
NC,Watauga County,moratorium,pending,,"moratorium-nation:nc-watauga-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
ND,Dunn County,moratorium,active,2026-03-18,"moratorium-nation:nd-dunn-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
ND,Mercer County,moratorium,active,2026-03-03,"moratorium-nation:nd-mercer-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
ND,Morton County,moratorium,active,2024-09-12,"moratorium-nation:nd-morton-county-2024 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
ND,Oliver County (Phase 1),moratorium,rescinded,2024-12-12,"moratorium-nation:nd-oliver-county-2024-p1 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
ND,Oliver County (Phase 2),moratorium,expired,2025-05-06,"moratorium-nation:nd-oliver-county-2025-p2 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
ND,Oliver County (Phase 3),moratorium,active,2026-03-13,"moratorium-nation:nd-oliver-county-2026-p3 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
