name,operator,state,county,sqft,lat,lon,type
Digital Realty Silicon Valley SJC16,Digital Realty,California,Santa Clara County,42504.0,37.374929097082685,-121.9559861698452,building
Digital Realty Silicon Valley SJC29,Digital Realty,California,Santa Clara County,40287.0,37.37502320043753,-121.95809620000126,building
Csquare SFO4,Csquare,California,Santa Clara County,27286.0,37.37577706129449,-121.9551929871648,building
Prime SANTA CLARA DATA CENTER,Prime,California,Santa Clara County,25825.0,37.37502630609213,-121.95488070140485,building
Digital Realty Silicon Valley SJC11,Digital Realty,California,Santa Clara County,44027.0,37.3763410080539,-121.94853104740696,building
Lumen,Lumen Technologies,California,Santa Clara County,15840.0,37.37758479573238,-121.95068207526988,building
Silicon Valley SJC31,Digital Realty,California,Santa Clara County,146597.0,37.37224989820432,-121.9483289304616,building
Unknown,,California,Santa Clara County,18864.0,37.37977911163557,-121.9499100438154,building
Evocative Santa Clara SJC11,,California,Santa Clara County,51418.0,37.389539602058925,-121.9619460438575,building
QTS Chicago,Quality Technology Services,Illinois,Cook County,267112.0,41.84218652884067,-87.66900814712955,building
Iron Mountain Data & Record Storage,Iron Mountain,Illinois,Cook County,106033.0,41.84879669155961,-87.64550983406528,building
Data Storage Centers,,Arizona,Maricopa County,38109.0,33.42169287468072,-112.03430310768364,building
Unknown,TierPoint,Massachusetts,Essex County,51354.0,42.68570898649228,-71.20859932011268,building
Markley Data Center,Markley Group,Massachusetts,Middlesex County,123665.0,42.6302619946922,-71.30442370850213,building
Flexential Charlotte - South,Flexential,North Carolina,Mecklenburg County,33741.0,35.13543064967395,-80.93687158006364,building
Digital Realty Data Center,Digital Realty,Arizona,Maricopa County,67568.0,33.344648208315185,-111.899226799974,building
Unknown,Comcast,Washington,King County,8025.0,47.69332367380439,-122.31731718771368,building
Equinix DC97,,Virginia,Fairfax County,43991.0,38.96157142283795,-77.37742307519908,building
Amazon IAD-55,Amazon Web Services,Virginia,Prince William County,228140.0,38.81506150876172,-77.64876376105127,building
CTI Biopharma,,Washington,King County,20600.0,47.6177878057982,-122.35669303335187,building
Westin Building,Digital Realty,Washington,King County,13117.0,47.61435537680634,-122.3388642251616,building
COPT Data Center,,Virginia,Prince William County,127955.0,38.74728120625688,-77.5318452938603,building
Dell 350 Holger Way,,California,Santa Clara County,45282.0,37.418407037850685,-121.9430846177997,building
SV Colo,SV Colo,California,Santa Clara County,57709.0,37.36431021578032,-121.9587992678193,building
Microsoft,Microsoft,California,Santa Clara County,166655.0,37.3620662092011,-121.94643635591544,building
OVH US East Vint Hill,,Virginia,Fauquier County,85783.0,38.747444697578814,-77.67445377449387,building
NCAR-Wyoming Supercomputing Center,University Corporation for Atmospheric Research,Wyoming,Laramie County,101129.0,41.12879048730292,-104.89748679471974,building
The Seattle Times,H5 Data Centers,Washington,King County,48589.0,47.61898482839781,-122.33646162358502,building
Google Data Center The Dalles Oregon,Google,Oregon,Wasco County,1487396.0,45.63204799165709,-121.2013022306046,campus
Segra Data Center,,North Carolina,Wake County,46141.0,35.7249920936468,-78.66236321040674,building
Equinix Ashburn DC2,Equinix,Virginia,Loudoun County,175215.0,39.0164707082229,-77.45900624552966,building
H5 Data Centers Ashburn,H5,Virginia,Loudoun County,83656.0,39.01367498906444,-77.45171989501627,building
TierPoint Sioux Falls West Data Center,,South Dakota,Minnehaha County,55963.0,43.60697077791878,-96.80919489840308,building
Lumen McLean,Lumen Technologies,Virginia,Fairfax County,42056.0,38.920020715978985,-77.21161871839628,building
DataBank McLean IAD2,DataBank,Virginia,Fairfax County,22957.0,38.919905150298106,-77.21358499990595,building
eBay,,Utah,Salt Lake County,183167.0,40.5637493311281,-112.04772494385752,building
Equinix Chicago Data CH7,Equinix,Illinois,DuPage County,47336.0,41.812557111453394,-87.9728434935898,building
PhoenixNAP,,Arizona,Maricopa County,79223.0,33.41605053769886,-112.0094263246897,building
Merrill Lynch Data Center,Merrill Lynch,New York,Richmond County,63435.0,40.60738024218361,-74.17317970568563,building
Telehouse Teleport,Telehouse,New York,Richmond County,69999.0,40.606985209666014,-74.17488651961352,building
32 Avenue of the Americas,,New York,New York County,42396.0,40.719998478665225,-74.00463586981833,building
Digital Realty,Digital Realty,Virginia,Fairfax County,72337.0,38.91013270273295,-77.47258021616551,building
TierPoint,,Missouri,St. Louis city,24039.0,38.62976100794761,-90.1964202669285,building
Verizon,,Nevada,Clark County,25884.0,36.14473260734884,-115.07792815622405,building
Unknown,,Texas,Bexar County,127563.0,29.44667420261524,-98.64069026748368,building
Unknown,,Texas,Bexar County,142712.0,29.44792213625347,-98.64112862038242,building
Unknown,,Texas,Bexar County,36014.0,29.447199009365736,-98.64099341797508,building
Unknown,,Texas,Collin County,121665.0,33.09599431363361,-96.68156543918737,building
Evoque Allen DA1,Centersquare,Texas,Collin County,114534.0,33.09506355613131,-96.68376373847305,building
Unknown,,Nebraska,Douglas County,69219.0,41.26141936949243,-95.93649511237068,building
Flexential - Richmond,Flexential,Virginia,Henrico County,39778.0,37.64689021155886,-77.4386951674598,building
Amazon IAD-9,Amazon Web Services,Virginia,Fairfax County,85855.0,38.89965169321406,-77.453440411722,building
Amazon IAD22,,Virginia,Fairfax County,30140.0,38.89790175442311,-77.45510184070243,building
Amazon IAD-1,Amazon Web Services,Virginia,Fairfax County,93882.0,38.89785914212506,-77.45407518694847,building
Unknown,,Virginia,Fairfax County,43330.0,38.90924510953836,-77.47224542805822,building
Unknown,,Virginia,Fairfax County,32222.0,38.90979813235743,-77.47346579109487,building
Unknown,,Virginia,Fairfax County,56049.0,38.75081659536996,-77.19627275728058,building
